Error Type,Topic Guid,Message
Warning,5fe3e01b-34cf-44e0-b897-b0b2a83f0917,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;0.05% out-of-order packets </p> in md file:5fe3e01b-34cf-44e0-b897-b0b2a83f0917.md total found:0
Warning,5fe3e01b-34cf-44e0-b897-b0b2a83f0917,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt; 30ms </p> in md file:5fe3e01b-34cf-44e0-b897-b0b2a83f0917.md total found:0
Warning,5fe3e01b-34cf-44e0-b897-b0b2a83f0917,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt; 60ms </p> in md file:5fe3e01b-34cf-44e0-b897-b0b2a83f0917.md total found:0
Warning,5fe3e01b-34cf-44e0-b897-b0b2a83f0917,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;1% during any 200 ms interval </p> in md file:5fe3e01b-34cf-44e0-b897-b0b2a83f0917.md total found:0
Warning,5fe3e01b-34cf-44e0-b897-b0b2a83f0917,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;0.1% during any 15s interval </p> in md file:5fe3e01b-34cf-44e0-b897-b0b2a83f0917.md total found:0
Warning,5fe3e01b-34cf-44e0-b897-b0b2a83f0917,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;15ms during any 15s interval </p> in md file:5fe3e01b-34cf-44e0-b897-b0b2a83f0917.md total found:0
Warning,5fe3e01b-34cf-44e0-b897-b0b2a83f0917,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;0.01% out-of-order packets </p> in md file:5fe3e01b-34cf-44e0-b897-b0b2a83f0917.md total found:0
Warning,5fe3e01b-34cf-44e0-b897-b0b2a83f0917,Missing tables headers in file:5fe3e01b-34cf-44e0-b897-b0b2a83f0917.md
Warning,61dfb27c-5bfa-4481-a930-9c026e73ff3a,Found a an ul list inside a table in html file:61dfb27c-5bfa-4481-a930-9c026e73ff3a.xml
Warning,61dfb27c-5bfa-4481-a930-9c026e73ff3a,Found nested table in md file:61dfb27c-5bfa-4481-a930-9c026e73ff3a.md
Warning,61dfb27c-5bfa-4481-a930-9c026e73ff3a,Fixing missing end table tag in file:61dfb27c-5bfa-4481-a930-9c026e73ff3a.md
Warning,61dfb27c-5bfa-4481-a930-9c026e73ff3a,Found invalid tables saving file:61dfb27c-5bfa-4481-a930-9c026e73ff3a.md
Warning,66945036-ae87-4c08-a0bb-984e50d6b009,Found a an ul list inside a table in html file:66945036-ae87-4c08-a0bb-984e50d6b009.xml
Warning,67ccda94-1210-43fb-a25b-7b9785f8a061,Found a an ul list inside a table in html file:67ccda94-1210-43fb-a25b-7b9785f8a061.xml
Warning,67ccda94-1210-43fb-a25b-7b9785f8a061,Missing tables headers in file:67ccda94-1210-43fb-a25b-7b9785f8a061.md
Warning,67ccda94-1210-43fb-a25b-7b9785f8a061,Found nested table in md file:67ccda94-1210-43fb-a25b-7b9785f8a061.md
Warning,67ccda94-1210-43fb-a25b-7b9785f8a061,Fixing missing end table tag in file:67ccda94-1210-43fb-a25b-7b9785f8a061.md
Warning,67ccda94-1210-43fb-a25b-7b9785f8a061,Fixing missing end table tag in file:67ccda94-1210-43fb-a25b-7b9785f8a061.md
Warning,67ccda94-1210-43fb-a25b-7b9785f8a061,Fixing missing end table tag in file:67ccda94-1210-43fb-a25b-7b9785f8a061.md
Warning,67ccda94-1210-43fb-a25b-7b9785f8a061,Found invalid tables saving file:67ccda94-1210-43fb-a25b-7b9785f8a061.md
Warning,6b61cb3c-361c-48a8-a9ef-d81bddde27bb,Found a an ul list inside a table in html file:6b61cb3c-361c-48a8-a9ef-d81bddde27bb.xml
Warning,6b61cb3c-361c-48a8-a9ef-d81bddde27bb,Found nested table in md file:6b61cb3c-361c-48a8-a9ef-d81bddde27bb.md
Warning,6b61cb3c-361c-48a8-a9ef-d81bddde27bb,Fixing missing end table tag in file:6b61cb3c-361c-48a8-a9ef-d81bddde27bb.md
Warning,6b61cb3c-361c-48a8-a9ef-d81bddde27bb,Fixing missing end table tag in file:6b61cb3c-361c-48a8-a9ef-d81bddde27bb.md
Warning,6b61cb3c-361c-48a8-a9ef-d81bddde27bb,Found invalid tables saving file:6b61cb3c-361c-48a8-a9ef-d81bddde27bb.md
Warning,6ba72f37-d303-4795-aa8f-7e1845078ed7,Missing tables headers in file:6ba72f37-d303-4795-aa8f-7e1845078ed7.md
Warning,6ba72f37-d303-4795-aa8f-7e1845078ed7,Found nested table in md file:6ba72f37-d303-4795-aa8f-7e1845078ed7.md
