VBA Project,GUID,Friendly name
Lync15_ITPro,61374f9b-e85a-4866-91f2-037a862ba0d6,get-csadminroleassignment
Lync15_ITPro,a8931511-3e66-49ed-a3ec-03bcd61ce1f0,modify-existing-registrar-configuration-settings
Lync15_ITPro,49096960-c442-4846-be8f-03c167acea41,archiving-configuration-create-new-or-edit-existing
Lync15_ITPro,6519ed80-020f-47a3-851c-03dea5eac5d9,configure-network-adapters
Lync15_ITPro,71c7cb8e-45f8-441f-b433-03e3d9436992,migration-phases-ocs-2007-r2-to-w15
Lync15_ITPro,8b9b2bad-a4b3-42e1-85a7-04022e9442ad,setting-up-policies-for-archiving-when-using-exchange-server-integration
Lync15_ITPro,a85efdda-97b0-4f3b-bd26-04416bee8ef5,optional-verify-dial-in-conferencing-settings
Lync15_ITPro,104ecc02-789d-4538-8203-0451448d4301,update-csclslogging
Lync15_ITPro,f3477f0a-3ad5-4b13-a73c-046aa451db19,design-interactive-voice-response-call-flows
Lync15_ITPro,6ab00f2c-e1d5-4698-a58f-04b72260f9ac,view-simple-url-details
Lync15_ITPro,9673bd73-a3a3-425d-870f-04d801c6d0d5,deploying-on-premises-exchange-um-to-provide-lync-server-2013-voice-mail
Lync15_ITPro,24b73e8e-948c-4e9c-bf4e-04ec0a229ffa,invoke-csdatabasefailover
Lync15_ITPro,5322e63e-c02c-4dec-8206-04f701258d6b,new-csdiagnosticheaderconfiguration
Lync15_ITPro,15f7a7d0-d6d6-491e-a2e3-04fd2d6528d5,get-cspresenceprovider
Lync15_ITPro,3373be5c-0a99-437d-9604-05194a96c31e,configure-site-information-for-e9-1-1
Lync15_ITPro,9dbb1c9a-be0f-4e13-9234-05501ab43ac5,approve-a-device-update-rule
Lync15_ITPro,187d316d-2456-417e-b636-05527a18ef06,system-usage-reports
Lync15_ITPro,39018a7c-e0c3-46a2-be4e-05604ec67a50,create-a-per-user-hosted-voice-mail-policy
Lync15_ITPro,c88526f9-69e2-47dd-b3d7-056139d74fb2,setting-up-front-end-servers-and-front-end-pools
Lync15_ITPro,a71881ef-b04a-465e-9abb-0577bfd182f3,create-bandwidth-policy-profiles
Lync15_ITPro,9eebea4a-64a3-424c-9b05-0579c4e8111e,new-csmcxconfiguration
Lync15_ITPro,bc4ae8cc-ec0c-42f1-9034-058930e530d6,configure-iis
Lync15_ITPro,26c3a357-558f-406f-8df3-059911f771f0,remove-csuserreplicatorconfiguration
Lync15_ITPro,00b9312c-b0c8-4f79-8b76-05b2d820e197,integrating-a-third-party-collaboration-application-with-lync
Lync15_ITPro,b95b3301-fa1e-4b96-9af4-05b43d39db8d,installing-optional-software
Lync15_ITPro,e95f938e-4dd2-48b8-95a3-05b4c63d4810,add-archiving-server-file-store
Lync15_ITPro,84940891-37a6-45fc-972d-05b95aa71ba9,new-csnetworkbandwidthpolicyprofile
Lync15_ITPro,daf1afc8-cce4-4192-8ba4-05d26817198e,remove-csnetworkintersitepolicy
Lync15_ITPro,4f57a605-a8a9-4c5a-9a18-05ecb3d9ab6b,internet-information-services-iis-requirements
Lync15_ITPro,05b1a858-fd45-4bb9-9cb4-05f001528a88,phase-9-complete-post-migration-tasks-ocs-2007-r2-to-w15
Lync15_ITPro,085507a1-17e8-4dfa-aa6a-062620584335,test-cswatchernodeconfiguration
Lync15_ITPro,26f806c1-f284-4637-b06b-06270336c540,managing-federation-and-external-access-to-lync-server-2013
Lync15_ITPro,9b57f126-1853-43b3-bbd4-06401e6498bd,modify-settings-for-device-update-log-files
Lync15_ITPro,d692b377-8df2-4668-b9d3-06458dd4d96d,get-csannouncement
Lync15_ITPro,28ec32d2-6d1e-40e6-b2a8-065803288e8b,troubleshooting-enterprise-voice-cmdlets
Lync15_ITPro,d65a000f-905d-4512-b082-066748719f4c,new-cscallparkorbit
Lync15_ITPro,01131e28-b38e-40d9-8524-06725b9c6608,security-framework-for-lync-server-2013
Lync15_ITPro,eef7877c-0302-4ce7-84f5-06968d0623b9,unlock-csclientpin
Lync15_ITPro,7da7e133-e405-466c-a852-06a4fb678c59,export-csconfiguration
Lync15_ITPro,11bc7b84-91cf-48f9-ad0e-06ad30b46a2e,dns-summaryscaled-consolidated-edge-dns-load-balancing-with-private-ip-addresses
Lync15_ITPro,b1721d52-3c65-45ea-8997-06af8fef93fc,conferenceuris-table
Lync15_ITPro,c78d7e9b-c496-40c6-9249-06ced9cb87f3,manage-sip-federated-providers-for-your-organization
Lync15_ITPro,e6021d70-6ed9-414d-954c-06eef397dc1a,testing-sharing-in-conferences
Lync15_ITPro,c8e6064a-8127-4c25-8685-06f49d8bbfce,add-persistent-chat-sql-server-store
Lync15_ITPro,202ca4ab-8e6d-44a4-b7c8-071133074feb,optional-verify-response-group-deployment
Lync15_ITPro,4d3e67be-c094-415f-b1e6-0719dec6f3fc,remove-csvoicepolicy
Lync15_ITPro,4dd448f1-01d2-49b2-b109-0728f36566b7,viewing-and-analyzing-monitoring-server-reports
Lync15_ITPro,be5621b6-ec11-4b12-83ec-075af269ca6a,cmdlets-that-use-a-conferencing-provider-identity
Lync15_ITPro,aa039d01-e721-455f-94c4-076a3aac38bd,administrative-tools-infrastructure-requirements
Lync15_ITPro,d587ff04-9af6-4ac1-ad42-076e7a40ac75,defining-your-organizations-s-requirements-for-monitoring
Lync15_ITPro,49290251-276d-41d5-bcfd-077018d74f59,remove-cstestusercredential
Lync15_ITPro,e829a21e-9dfa-46ba-9b5b-077c175d6586,peer-to-peer-activity-summary-report
Lync15_ITPro,69adda9b-5b72-4538-9be6-079b2f462e09,provisioning-guide-for-lync-skype-connectivity
Lync15_ITPro,13108f59-a660-4ff1-8404-079d1cb646f2,scenarios-for-reverse-proxy
Lync15_ITPro,ffa1774b-ac60-4392-ad55-07bb887bf945,set-csnetworkregion
Lync15_ITPro,6c2713f4-8e2c-48fc-9f27-07c1d6b87a18,set-cstrustedapplicationendpoint
Lync15_ITPro,579bfa5a-9443-46dd-9a8e-07d00ba2824d,active-directory-schema-extensions-classes-and-attributes-used-by-lync-server-20
Lync15_ITPro,e4aedf4f-77ac-4c8b-9613-07f8ea12c041,test-csdialinconferencing
Lync15_ITPro,dec450bb-d523-468d-aee4-07fdc3d567c4,remove-csuseracp
Lync15_ITPro,32fbf7d0-9418-49cc-81c7-0819105ec1d4,mount-point-has-less-than-3-gb-of-available-space
Lync15_ITPro,7e04f7bb-c33f-49b4-9306-082b14d2a854,new-cssipproxytls
Lync15_ITPro,7a850cd5-c789-4795-a8ff-083be21ae784,capacity-planning-for-persistent-chat-server
Lync15_ITPro,3b234d92-b9ff-4b1d-910e-084c6f17e751,planning-for-sip-xmpp-federation-and-public-instant-messaging
Lync15_ITPro,d40097a1-1bed-44dc-aeb6-0871927ab2b9,failing-back-the-edge-pool-used-for-lync-server-federation-or-xmpp-federation
Lync15_ITPro,86888c7e-1401-458f-9a7b-08ac726deeec,create-and-verify-dns-srv-records
Lync15_ITPro,71a107c9-5499-460f-b4b8-08b368be9321,remove-csclientversionpolicyrule
Lync15_ITPro,00777a34-cc36-4992-9459-08c14543ef6b,configure-xmpp-gateway-on-lync-server-2013-ocs-2007-r2-to-w15
Lync15_ITPro,1842191d-df9a-41e0-9286-08c25f9b5dca,configuring-certificates-for-autodiscover
Lync15_ITPro,2008d55c-fd53-4004-b6e6-08cdf0175af8,get-csrgshoursofbusiness
Lync15_ITPro,ea15ee37-f7a1-4e67-afe8-08e63e8ca765,get-csadminrole
Lync15_ITPro,4079e767-3339-40c9-b7cd-08ec6c9d2c25,test-csliscivicaddress
Lync15_ITPro,e6ff27e0-e2d1-4445-840f-08f738200c20,create-a-voice-policy-and-configure-pstn-usage-records
Lync15_ITPro,458f5367-ee04-4281-971f-08f79a625509,get-csdatabasemirrorstate
Lync15_ITPro,d62e51d6-2117-4c41-adce-08f8d9d75ce0,endpointsubnet-table
Lync15_ITPro,898b83c1-007b-43be-9484-08fe49c10951,planning-for-archiving
Lync15_ITPro,86f2a807-29cf-4dba-a6ee-091d6957f435,accessing-and-using-skype-for-business-online-reports
Lync15_ITPro,3300343f-c075-4b4f-aaa4-091dbf1fcd90,set-csdialinconferencingconfiguration
Lync15_ITPro,fafdcd2e-b778-4ed5-a25f-09208aa3b699,enabling-or-disabling-critical-mode-to-block-or-allow-im-and-web-conferencing-se
Lync15_ITPro,4547f514-f0c0-404d-890f-092ddeeac852,configure-categories
Lync15_ITPro,a3fda8bf-84e3-4d14-a1c5-093e6eb36ffe,get-csoauthconfiguration
Lync15_ITPro,2b6493f1-1be5-45b4-841a-09425cb302e1,new-calling-number-translation-rule
Lync15_ITPro,1bd35f90-8587-48a1-b0c2-095a4053fc77,global-media-bypass-options
Lync15_ITPro,4f38e966-8e92-4549-8124-097c236c0165,get-csclsregion
Lync15_ITPro,23e3bda7-a8bf-4da4-88e5-098ae2aa268f,add-front-end-server-collocations
Lync15_ITPro,ca796a3d-9705-43a5-a6c4-09da9923b5cc,configure-clients-for-migration-w14-to-w15
Lync15_ITPro,84572a6a-3a99-44de-828f-09e2af2d151d,operating-and-maintaining-the-persistent-chat-system
Lync15_ITPro,71904a62-a1f1-4466-9921-0a175909e117,remove-csmcxconfiguration
Lync15_ITPro,6cf714af-8f57-4a71-89ad-0a776302b2ba,create-or-modify-a-collection-of-lync-phone-edition-configuration-settings
Lync15_ITPro,0a9fabfc-b0d3-4c94-ae04-0a87f0886db8,set-cstestdevice
Lync15_ITPro,91fd036b-b1af-47cf-b1cf-0aa0a783c2aa,enable-or-disable-discovery-of-federation-partners
Lync15_ITPro,7c3c2fb4-4ff2-47b1-aab3-0aa91472eadb,transition-a-collocated-mediation-server-to-a-stand-alone-mediation-server-optio
Lync15_ITPro,dc5cb988-13e2-4af4-8b36-0aaa58ebf1c5,get-csnetworkregionlink
Lync15_ITPro,22988186-15ae-43b1-92f4-0adb3b75a7fd,configure-certificates-for-the-director
Lync15_ITPro,6f8fa258-9a9d-44fe-b7e3-0b02604907e2,external-access-policy-create-new-or-edit-existing
Lync15_ITPro,0d84dc98-de6f-4c85-b3f8-0b07d10dbcfc,finalizing-and-implementing-the-topology-design
Lync15_ITPro,2a4821aa-f15f-49b8-beec-0b08676497e7,single-director
Lync15_ITPro,4b70991e-5f10-40a3-b069-0b227c3a3a0a,request-and-configure-a-certificate-for-your-reverse-http-proxy
Lync15_ITPro,38862e35-3fec-41b9-a035-0b301942d446,call-detail-report
Lync15_ITPro,07fec57c-5cd3-422a-829a-0b62cb0092c4,client-version-configuration-create-new-or-edit-existing
Lync15_ITPro,d3aae909-fef6-440f-b144-0b62dc82bf5d,test-voice-routing
Lync15_ITPro,b20af38d-224a-4459-991d-0b7eabb3ca7c,enable-or-disable-a-microsoft-sip-processing-language-mspl-server-application
Lync15_ITPro,0e0ad9f0-27d5-4975-ae88-0b8ff8a4c514,mediation-server-general-settings-expander
Lync15_ITPro,f934e076-1022-40cd-8a4a-0b90ccf6f2a6,office-web-apps-server-scope-node-expander
Lync15_ITPro,dcb9ddff-6fe3-4077-a2e3-0ba64f65e264,operations-guide
Lync15_ITPro,27600a10-cc00-4be0-ab47-0bb06e65e4cd,new-cssipproxytcp
Lync15_ITPro,c1f79a05-165c-47ec-8593-0bb3d43ee16f,dial-in-conferencing-planning-tool
Lync15_ITPro,fb39af60-c999-42fb-9538-0bd87098f508,mobile-client-create-or-edit-push-notification-configuration
Lync15_ITPro,6a25b2c6-0cb2-473c-af92-0be5cead8a19,test-csclientauthentication
Lync15_ITPro,2000d672-a85f-4262-9d69-0bee9ae3709a,deployment-process-for-call-park
Lync15_ITPro,6783e225-9677-415a-8731-0bf2e2c4cf8b,scaled-consolidated-edge-with-hardware-load-balancers
Lync15_ITPro,e5d97b27-5ae8-41e0-8ee9-0c3f6d5dd123,define-a-new-trunk
Lync15_ITPro,716829ec-f00c-4425-9fb6-0c4c4d4006e7,browser-support-for-lync-server-control-panel
Lync15_ITPro,5fa2c2a3-b5e4-430c-970a-0c506a6924b5,get-csblockeddomain
Lync15_ITPro,ecba9ed6-4845-4035-933e-0c540d530b72,set-cspstnusage
Lync15_ITPro,d56a525f-3da5-4ac0-a311-0c5efd98c9df,call-admission-control-deployment-checklist
Lync15_ITPro,a4a64048-f8d7-483a-9565-0c6f3b0937b7,get-csnetworkintersitepolicy
Lync15_ITPro,e463c4ba-b7e4-42e5-98f0-0c8b842206dd,planning-for-call-park
Lync15_ITPro,aebf7b48-9aa2-4a06-adc5-0c9d11b6358d,configuring-supported-client-versions
Lync15_ITPro,4ee527fa-ebec-40a9-a6bf-0cabd098aaa9,trunks-scope-node
Lync15_ITPro,6498235b-2fa9-421d-bfa0-0ccc09508dbd,mobile-client-deployment-process
Lync15_ITPro,7e126464-5d29-4013-9c44-0ccc2fbdea0f,preparing-active-directory-domain-services-for-lync-server-2013
Lync15_ITPro,df68fdc6-b7e6-4f07-acdc-0cd4c2c888a1,mark-a-microsoft-sip-processing-language-mspl-application-as-critical-or-not-cri
Lync15_ITPro,442a88df-ebc2-4335-9c59-0ce1adc1471e,planning-for-and-deploying-two-factor-authentication
Lync15_ITPro,d90a4049-b268-4e8e-9f24-0cef08c8d9ed,configuring-persistent-chat-server
Lync15_ITPro,c66c6689-28a2-4758-add1-0d0dff0d3eee,users-view-persistent-chat
Lync15_ITPro,a7b263a4-eeb8-4a04-acc2-0d29d72742cf,planning-for-mobile-clients
Lync15_ITPro,42b0bcd5-d567-4867-841e-0d35ac05c09f,remove-csdeviceupdaterule
Lync15_ITPro,b0e2377c-6aab-45d8-b71d-0d37c6f6dae3,get-csmanagementconnection
Lync15_ITPro,d18c74a6-385b-407b-98eb-0d525fa38fea,encryption-for-lync-server-2013
Lync15_ITPro,8086bdf7-d283-4666-9f6c-0d5a3a31b3a6,test-cscertificateconfiguration
Lync15_ITPro,306d3fb5-231b-4f0b-b8d8-0d9083b5ed77,providing-lync-server-2013-users-voice-mail-on-hosted-exchange-um
Lync15_ITPro,d960b19c-2104-4719-b736-0d940f254d42,restoring-an-enterprise-edition-member-server
Lync15_ITPro,f8d9ed6f-22ba-470e-b0b4-0da3cea5e961,select-creators
Lync15_ITPro,806a813c-bdd4-49eb-9923-0dbb03968d8a,managing-user-pins
Lync15_ITPro,9dc82b88-303b-4678-8298-0dbc769f6781,get-cspstnusage
Lync15_ITPro,0949288e-9df2-42c4-8297-0dc4cb40d544,get-csclientcertificate
Lync15_ITPro,97d23d2e-878c-4573-bfce-0ddddc5a190e,set-cspersistentchatconfiguration
Lync15_ITPro,8d21db9b-10d1-4b43-b057-0deb1df1c205,testing-application-sharing
Lync15_ITPro,0b129b54-a7a8-42a6-9279-0e08410c06ec,tblskippedaffiliations
Lync15_ITPro,d0e9b4d0-7110-4a29-b5e5-0e116ea6fa9c,call-detail-recording-create-new-or-edit-existing
Lync15_ITPro,41a7dfb4-0c89-4650-b61b-0e1bf875c62b,view-dial-in-conferencing-access-numbers
Lync15_ITPro,13e95afe-87bc-43bf-b842-0e25b3fce2da,lync-server-2013-create-new-expander
Lync15_ITPro,9908eac9-765e-4406-bb6b-0e4dd07f85f8,test-csoupermission
Lync15_ITPro,55776a94-4888-4436-a3b6-0e6f8252e392,select-translation-rules
Lync15_ITPro,5aa0316d-afd8-4cc2-b606-0e720e6ab021,set-cswebserviceconfiguration
Lync15_ITPro,a0b54f25-db48-4797-8f0e-0e826830217c,new-cspresencepolicy
Lync15_ITPro,56a04140-347e-4eef-bede-0e858534f71e,remove-an-authorized-host-entry-ocs-2007-r2-to-w15
Lync15_ITPro,26cead5a-183c-42f1-a4b0-0e8d61c6159d,planning-for-monitoring
Lync15_ITPro,ce5f610b-117b-46b3-ad06-0e93f5b7a4de,grant-cspinpolicy
Lync15_ITPro,7b73e678-3e5c-491c-bef1-0eb72cf60398,call-admission-control-planning-tool
Lync15_ITPro,c8287b15-e1bb-4b26-8354-0ec90b2fcfe7,verify-communications-with-a-lync-online-customer
Lync15_ITPro,1e91720c-ab67-4dfb-b30c-0ef2a8012310,managing-response-group-queues
Lync15_ITPro,1e8bedca-8bd5-4559-b530-0f18ae23d6d3,new-cssipproxyusedefault
Lync15_ITPro,58889550-167a-4267-9f3d-0f244e898599,grant-cspersistentchatpolicy
Lync15_ITPro,d75e4cf6-7b36-430a-a91a-0f2559306ba1,configuring-lync-server-2013-to-route-to-a-sip-csta-gateway
Lync15_ITPro,72f12c72-65f7-44fe-ab81-0f57cb2f87d1,assign-a-per-user-conferencing-policy
Lync15_ITPro,360a2f7b-015b-4e93-ac67-0f609c21f1a2,example-xmpp-configuration-–-xmpp-federation-with-google-talk
Lync15_ITPro,3e8ce95f-a8c8-417c-b1f7-0f759a567aff,create-or-modify-a-collection-of-device-update-configuration-settings
Lync15_ITPro,120b2a2b-5f97-4735-a2ee-0f849feb8c1d,media-bypass-and-call-admission-control
Lync15_ITPro,0516b18d-14c0-4237-9279-0f92e341b1bd,server-collocation-in-an-enterprise-edition-front-end-pool-deployment
Lync15_ITPro,83e83b16-0f0e-4d87-901a-0faa4618cdc2,network-bandwidth-requirements-for-media-traffic
Lync15_ITPro,26ebffcf-43ff-4e70-847d-0fbc90e94e57,topologies-for-ip-phones
Lync15_ITPro,0dcf919e-9896-4428-8f12-0fc611661fa8,new-cssimpleurl
Lync15_ITPro,63ea8a5e-a040-4892-9440-0fdbeef66fc0,federation-planning-tool
Lync15_ITPro,7b08f048-c951-4050-b77c-0fff351620e7,administering-servers-after-migration-w14-to-w15
Lync15_ITPro,1e1b427f-59b5-4564-bde5-1002a80439ee,media-table
Lync15_ITPro,8761008f-b239-4b95-bcd8-1011198dd070,topology-builder-startup-dialog
Lync15_ITPro,c5ca6d6c-e442-4375-b8fd-1016a0aef33b,grant-csmobilitypolicy
Lync15_ITPro,22fc87cf-a7e5-4c8c-bb9b-101e5380cdcf,components-and-topologies-for-on-premises-unified-messaging
Lync15_ITPro,fc0fd40d-77b0-40c1-94f4-1026f70bcf30,normalization-rule-type-a-regular-expression
Lync15_ITPro,59f5528b-d1f4-4da9-9dfe-102c96c6d7c2,get-cssimpleurlconfiguration
