Error Type,Topic Guid,Message
Warning,14f6798a-28d6-4b3d-8734-942192e1bbf5,Topic title:authorize-connection-to-office-communications-server-2007-r2-edge-server-ocs-2007-r2-to-w15 bigger then max length:80 new topic title name:authorize-connection-to-office-communications-server-2007-r2-edge-server-ocs-200
Warning,8cabb187-cff7-44e7-a126-9b25861ef2c8,Topic title:remove-the-enterprise-edition-front-end-server-or-standard-edition-front-end-server-w14-to-w15 bigger then max length:80 new topic title name:remove-the-enterprise-edition-front-end-server-or-standard-edition-front-end-ser
Warning,5864793a-ba72-470c-bb5b-9fb41e968896,Topic title:creating-an-archiving-policy-to-enable-or-disable-archiving-of-internal-or-external-communications-for-specific-sites-or-users bigger then max length:80 new topic title name:creating-an-archiving-policy-to-enable-or-disable-archiving-of-internal-or-exter
Warning,4eb4b5f0-f407-46bd-a2ac-a7ccbc387d51,Topic title:managing-skype-for-business-online-and-microsoft-exchange-from-the-same-remote-windows-powershell-session bigger then max length:80 new topic title name:managing-skype-for-business-online-and-microsoft-exchange-from-the-same-remote-w
Warning,98245b04-ded4-4186-8da3-ba1c554b5c39,Topic title:first-steps-before-you-start-migrating-users-from-lync-online-to-lync-on-premises bigger then max length:80 new topic title name:first-steps-before-you-start-migrating-users-from-lync-online-to-lync-on-premise
Warning,e87ac448-ee8f-477a-9f33-ce066c1bf093,Topic title:certificate-summaryscaled-consolidated-edge-dns-load-balancing-with-public-ip-addresses bigger then max length:80 new topic title name:certificate-summaryscaled-consolidated-edge-dns-load-balancing-with-public-ip-ad
Warning,68f76c36-5dd6-48ea-b19a-d65593199e4c,Topic title:automatically-connecting-to-skype-for-business-online-whenever-you-start-windows-powershell bigger then max length:80 new topic title name:automatically-connecting-to-skype-for-business-online-whenever-you-start-windows
Warning,8bb8800a-f966-4570-8c8b-db87a91ad783,Topic title:combining-skype-for-business-online-cmdlets-with-other-windows-powershell-cmdlets bigger then max length:80 new topic title name:combining-skype-for-business-online-cmdlets-with-other-windows-powershell-cmdlet
Warning,41677dbd-3d07-498a-8591-df255b606647,Topic title:certificate-summaryscaled-consolidated-edge-dns-load-balancing-with-private-ip-addresses-using-nat bigger then max length:80 new topic title name:certificate-summaryscaled-consolidated-edge-dns-load-balancing-with-private-ip-a
Warning,ea219705-1015-43a7-890b-e7e67b451e7c,Topic title:protecting-data-in-transit-–-archiving-monitoring-group-chat-compliance-server-databases-in-lync-server-2013 bigger then max length:80 new topic title name:protecting-data-in-transit-–-archiving-monitoring-group-chat-compliance-server-d
Warning,ee310b18-3d76-433b-9d18-eb42867399b2,Topic title:membership-in-rtcuniversalreadonlyadmins-and-local-administrators-groups-is-required bigger then max length:80 new topic title name:membership-in-rtcuniversalreadonlyadmins-and-local-administrators-groups-is-requ
Warning,5a813169-0ed7-4f84-a242-ed2cd4ea5c43,Topic title:verify-that-all-exchange-um-contact-objects-are-removed-from-the-legacy-pool-ocs-2007-r2-to-w15 bigger then max length:80 new topic title name:verify-that-all-exchange-um-contact-objects-are-removed-from-the-legacy-pool-ocs
Warning,088ea1c2-d592-4a11-b3b8-f1e2f8beae93,Topic title:setting-up-sql-server-log-shipping-for-the-persistent-chat-server-primary-database bigger then max length:80 new topic title name:setting-up-sql-server-log-shipping-for-the-persistent-chat-server-primary-databa
Warning,5b4d3db1-6eba-4932-b49c-f60bcf9488f9,Topic title:migration-from-lync-server-2010-group-chat-or-office-communications-server-2007-r2-group-chat-to-lync-server-2013-persistent-chat-server bigger then max length:80 new topic title name:migration-from-lync-server-2010-group-chat-or-office-communications-server-2007-
Warning,24fad052-bd2a-4c83-a382-f7bfa62f0edd,Topic title:quick-reference-using-windows-powershell-to-do-common-skype-for-business-online-management-tasks bigger then max length:80 new topic title name:quick-reference-using-windows-powershell-to-do-common-skype-for-business-online-
Warning,1be9c4f4-fd8e-4d64-9798-f8737b12e2ab,Topic title:configuring-exchange-server-2013-unified-messaging-for-lync-server-2013-voice-mail bigger then max length:80 new topic title name:configuring-exchange-server-2013-unified-messaging-for-lync-server-2013-voice-ma
Warning,b85dc3fb-8ebd-4e3c-ac90-fc79270ac867,Topic title:changing-an-archiving-policy-to-enable-or-disable-archiving-of-internal-or-external-communications-for-your-organization-sites-or-users bigger then max length:80 new topic title name:changing-an-archiving-policy-to-enable-or-disable-archiving-of-internal-or-exter
Warning,acd487b3-377c-46bf-9f71-fe6152002664,Topic title:change-voice-routes-to-use-the-new-lync-server-2013-mediation-server-ocs-2007-r2-to-w15 bigger then max length:80 new topic title name:change-voice-routes-to-use-the-new-lync-server-2013-mediation-server-ocs-2007-r2
Warning,N/A,Sql Query:use [DDCMS_MOD_LYNC15] SELECT tkw.[topicGuid] as topicGuid,kwf.[keyword] as f1Keyword
                                        FROM [TopicKeywordsF] tkw join [dbo].[KeywordsF] kwf on tkw.[kwdGuid] = kwf.[kwdGuid]
                                        INNER JOIN [dbo].[Reporting_Topic_WithShared] RS
                                        ON tkw.[topicGuid] = RS.[Topic ID]                               
                                        INNER JOIN Projects pro
